"candidate_id","person_concept_id","person_feature","scene_domain_id","scene_domain","stage_id","stage","trigger_id","trigger","need_id","need_content","need_shape_hint","mechanism_hint","topic_question_stub","generation_method","review_status"
"CC2-00001","PF-A01","外在吸引","SC-S2-08","社交/朋友/个人空间","SC-S1-01","认识/相亲","SC-S3-09","社交/边界事件","NF-N1-01","吸引/欲望","Gate / person-specific","N3-06/N3-10","当「外在吸引」进入「认识/相亲」的「社交/朋友/个人空间」，遇到「社交/边界事件」时，对重视「吸引/欲望」的人意味着什么？","constrained_mapping_v0.2","semantic_preflight"
"CC2-00002","PF-A01","外在吸引","SC-S2-08","社交/朋友/个人空间","SC-S1-01","认识/相亲","SC-S3-09","社交/边界事件","NF-N1-02","陪伴/连接/归属","Ideal range / conditional","N3-01/N3-05","当「外在吸引」进入「认识/相亲」的「社交/朋友/个人空间」，遇到「社交/边界事件」时，对重视「陪伴/连接/归属」的人意味着什么？","constrained_mapping_v0.2","semantic_preflight"
"CC2-00003","PF-A01","外在吸引","SC-S2-08","社交/朋友/个人空间","SC-S1-01","认识/相亲","SC-S3-09","社交/边界事件","NF-N1-10","性/身体亲密","Gate / fit","N3-10","当「外在吸引」进入「认识/相亲」的「社交/朋友/个人空间」，遇到「社交/边界事件」时，对重视「性/身体亲密」的人意味着什么？","constrained_mapping_v0.2","semantic_preflight"
"CC2-00004","PF-A01","外在吸引","SC-S2-08","社交/朋友/个人空间","SC-S1-03","稳定交往","SC-S3-09","社交/边界事件","NF-N1-01","吸引/欲望","Gate / person-specific","N3-06/N3-10","当「外在吸引」进入「稳定交往」的「社交/朋友/个人空间」，遇到「社交/边界事件」时，对重视「吸引/欲望」的人意味着什么？","constrained_mapping_v0.2","semantic_preflight"
"CC2-00005","PF-A01","外在吸引","SC-S2-08","社交/朋友/个人空间","SC-S1-03","稳定交往","SC-S3-09","社交/边界事件","NF-N1-02","陪伴/连接/归属","Ideal range / conditional","N3-01/N3-05","当「外在吸引」进入「稳定交往」的「社交/朋友/个人空间」，遇到「社交/边界事件」时，对重视「陪伴/连接/归属」的人意味着什么？","constrained_mapping_v0.2","semantic_preflight"
"CC2-00006","PF-A01","外在吸引","SC-S2-08","社交/朋友/个人空间","SC-S1-03","稳定交往","SC-S3-09","社交/边界事件","NF-N1-10","性/身体亲密","Gate / fit","N3-10","当「外在吸引」进入「稳定交往」的「社交/朋友/个人空间」，遇到「社交/边界事件」时，对重视「性/身体亲密」的人意味着什么？","constrained_mapping_v0.2","semantic_preflight"
"CC2-00007","PF-A01","外在吸引","SC-S2-08","社交/朋友/个人空间","SC-S1-03","稳定交往","SC-S3-10","反复小问题累积","NF-N1-01","吸引/欲望","Gate / person-specific","N3-06/N3-10","当「外在吸引」进入「稳定交往」的「社交/朋友/个人空间」，遇到「反复小问题累积」时，对重视「吸引/欲望」的人意味着什么？","constrained_mapping_v0.2","semantic_preflight"
"CC2-00008","PF-A01","外在吸引","SC-S2-08","社交/朋友/个人空间","SC-S1-03","稳定交往","SC-S3-10","反复小问题累积","NF-N1-02","陪伴/连接/归属","Ideal range / conditional","N3-01/N3-05","当「外在吸引」进入「稳定交往」的「社交/朋友/个人空间」，遇到「反复小问题累积」时，对重视「陪伴/连接/归属」的人意味着什么？","constrained_mapping_v0.2","semantic_preflight"
"CC2-00009","PF-A01","外在吸引","SC-S2-08","社交/朋友/个人空间","SC-S1-03","稳定交往","SC-S3-10","反复小问题累积","NF-N1-10","性/身体亲密","Gate / fit","N3-10","当「外在吸引」进入「稳定交往」的「社交/朋友/个人空间」，遇到「反复小问题累积」时，对重视「性/身体亲密」的人意味着什么？","constrained_mapping_v0.2","semantic_preflight"
"CC2-00010","PF-A01","外在吸引","SC-S2-08","社交/朋友/个人空间","SC-S1-05","结婚/建立家庭","SC-S3-09","社交/边界事件","NF-N1-01","吸引/欲望","Gate / person-specific","N3-06/N3-10","当「外在吸引」进入「结婚/建立家庭」的「社交/朋友/个人空间」，遇到「社交/边界事件」时，对重视「吸引/欲望」的人意味着什么？","constrained_mapping_v0.2","semantic_preflight"
