"topic_seed_id","series_id","series_name","entry_id","entry_label","mapped_person_concepts","entry_mapping_status","template_id","scene_focus","primary_need_id","topic_seed","generation_method","review_status"
"ST-0001","S01","工作岗位 / 工作方式系列","S01-E01","大厂 / 高强度白领","PF-A05;PF-B06;PF-F01;PF-F02","mapped","T01","恋爱 / 日常时间","NF-N1-02","和「大厂 / 高强度白领」谈恋爱：这份工作每天真正还能留下多少时间给关系？","generated_series_seed","unreviewed"
"ST-0002","S01","工作岗位 / 工作方式系列","S01-E01","大厂 / 高强度白领","PF-A05;PF-B06;PF-F01;PF-F02","mapped","T02","同居 / 作息","NF-N1-05","和「大厂 / 高强度白领」住在一起以后：工作节奏会怎样进入你们的作息和日常？","generated_series_seed","unreviewed"
"ST-0003","S01","工作岗位 / 工作方式系列","S01-E01","大厂 / 高强度白领","PF-A05;PF-B06;PF-F01;PF-F02","mapped","T03","事业机会 / 城市","NF-N1-12","「大厂 / 高强度白领」遇到一次重要职业机会：谁为谁调整城市、时间和计划？","generated_series_seed","unreviewed"
"ST-0004","S01","工作岗位 / 工作方式系列","S01-E01","大厂 / 高强度白领","PF-A05;PF-B06;PF-F01;PF-F02","mapped","T04","育儿 / 家庭责任","NF-N1-07","「大厂 / 高强度白领」有了孩子以后：工作责任和家庭责任怎么同时扛？","generated_series_seed","unreviewed"
"ST-0005","S01","工作岗位 / 工作方式系列","S01-E01","大厂 / 高强度白领","PF-A05;PF-B06;PF-F01;PF-F02","mapped","T05","Crisis / 可靠","NF-N1-07","平时忙可以接受；和「大厂 / 高强度白领」在一起，真正需要对方的时候他能不能出现？","generated_series_seed","unreviewed"
"ST-0006","S01","工作岗位 / 工作方式系列","S01-E01","程序员 / 技术岗","PF-A05;PF-B06;PF-F01","editorial_seed","T01","恋爱 / 日常时间","NF-N1-02","和「程序员 / 技术岗」谈恋爱：这份工作每天真正还能留下多少时间给关系？","generated_series_seed","unreviewed"
"ST-0007","S01","工作岗位 / 工作方式系列","S01-E01","程序员 / 技术岗","PF-A05;PF-B06;PF-F01","editorial_seed","T02","同居 / 作息","NF-N1-05","和「程序员 / 技术岗」住在一起以后：工作节奏会怎样进入你们的作息和日常？","generated_series_seed","unreviewed"
"ST-0008","S01","工作岗位 / 工作方式系列","S01-E01","程序员 / 技术岗","PF-A05;PF-B06;PF-F01","editorial_seed","T03","事业机会 / 城市","NF-N1-12","「程序员 / 技术岗」遇到一次重要职业机会：谁为谁调整城市、时间和计划？","generated_series_seed","unreviewed"
"ST-0009","S01","工作岗位 / 工作方式系列","S01-E01","程序员 / 技术岗","PF-A05;PF-B06;PF-F01","editorial_seed","T04","育儿 / 家庭责任","NF-N1-07","「程序员 / 技术岗」有了孩子以后：工作责任和家庭责任怎么同时扛？","generated_series_seed","unreviewed"
"ST-0010","S01","工作岗位 / 工作方式系列","S01-E01","程序员 / 技术岗","PF-A05;PF-B06;PF-F01","editorial_seed","T05","Crisis / 可靠","NF-N1-07","平时忙可以接受；和「程序员 / 技术岗」在一起，真正需要对方的时候他能不能出现？","generated_series_seed","unreviewed"
"ST-0011","S01","工作岗位 / 工作方式系列","S01-E01","产品 / 项目 / 管理岗","PF-A05;PF-B06;PF-F01","editorial_seed","T01","恋爱 / 日常时间","NF-N1-02","和「产品 / 项目 / 管理岗」谈恋爱：这份工作每天真正还能留下多少时间给关系？","generated_series_seed","unreviewed"
"ST-0012","S01","工作岗位 / 工作方式系列","S01-E01","产品 / 项目 / 管理岗","PF-A05;PF-B06;PF-F01","editorial_seed","T02","同居 / 作息","NF-N1-05","和「产品 / 项目 / 管理岗」住在一起以后：工作节奏会怎样进入你们的作息和日常？","generated_series_seed","unreviewed"
"ST-0013","S01","工作岗位 / 工作方式系列","S01-E01","产品 / 项目 / 管理岗","PF-A05;PF-B06;PF-F01","editorial_seed","T03","事业机会 / 城市","NF-N1-12","「产品 / 项目 / 管理岗」遇到一次重要职业机会：谁为谁调整城市、时间和计划？","generated_series_seed","unreviewed"
"ST-0014","S01","工作岗位 / 工作方式系列","S01-E01","产品 / 项目 / 管理岗","PF-A05;PF-B06;PF-F01","editorial_seed","T04","育儿 / 家庭责任","NF-N1-07","「产品 / 项目 / 管理岗」有了孩子以后：工作责任和家庭责任怎么同时扛？","generated_series_seed","unreviewed"
"ST-0015","S01","工作岗位 / 工作方式系列","S01-E01","产品 / 项目 / 管理岗","PF-A05;PF-B06;PF-F01","editorial_seed","T05","Crisis / 可靠","NF-N1-07","平时忙可以接受；和「产品 / 项目 / 管理岗」在一起，真正需要对方的时候他能不能出现？","generated_series_seed","unreviewed"
"ST-0016","S01","工作岗位 / 工作方式系列","S01-E01","公务员 / 体制内","PF-A05;PF-D05;PF-B06","mapped","T01","恋爱 / 日常时间","NF-N1-02","和「公务员 / 体制内」谈恋爱：这份工作每天真正还能留下多少时间给关系？","generated_series_seed","unreviewed"
"ST-0017","S01","工作岗位 / 工作方式系列","S01-E01","公务员 / 体制内","PF-A05;PF-D05;PF-B06","mapped","T02","同居 / 作息","NF-N1-05","和「公务员 / 体制内」住在一起以后：工作节奏会怎样进入你们的作息和日常？","generated_series_seed","unreviewed"
"ST-0018","S01","工作岗位 / 工作方式系列","S01-E01","公务员 / 体制内","PF-A05;PF-D05;PF-B06","mapped","T03","事业机会 / 城市","NF-N1-12","「公务员 / 体制内」遇到一次重要职业机会：谁为谁调整城市、时间和计划？","generated_series_seed","unreviewed"
"ST-0019","S01","工作岗位 / 工作方式系列","S01-E01","公务员 / 体制内","PF-A05;PF-D05;PF-B06","mapped","T04","育儿 / 家庭责任","NF-N1-07","「公务员 / 体制内」有了孩子以后：工作责任和家庭责任怎么同时扛？","generated_series_seed","unreviewed"
"ST-0020","S01","工作岗位 / 工作方式系列","S01-E01","公务员 / 体制内","PF-A05;PF-D05;PF-B06","mapped","T05","Crisis / 可靠","NF-N1-07","平时忙可以接受；和「公务员 / 体制内」在一起，真正需要对方的时候他能不能出现？","generated_series_seed","unreviewed"
"ST-0021","S01","工作岗位 / 工作方式系列","S01-E01","国企 / 稳定组织","PF-A05;PF-D05","mapped","T01","恋爱 / 日常时间","NF-N1-02","和「国企 / 稳定组织」谈恋爱：这份工作每天真正还能留下多少时间给关系？","generated_series_seed","unreviewed"
"ST-0022","S01","工作岗位 / 工作方式系列","S01-E01","国企 / 稳定组织","PF-A05;PF-D05","mapped","T02","同居 / 作息","NF-N1-05","和「国企 / 稳定组织」住在一起以后：工作节奏会怎样进入你们的作息和日常？","generated_series_seed","unreviewed"
"ST-0023","S01","工作岗位 / 工作方式系列","S01-E01","国企 / 稳定组织","PF-A05;PF-D05","mapped","T03","事业机会 / 城市","NF-N1-12","「国企 / 稳定组织」遇到一次重要职业机会：谁为谁调整城市、时间和计划？","generated_series_seed","unreviewed"
"ST-0024","S01","工作岗位 / 工作方式系列","S01-E01","国企 / 稳定组织","PF-A05;PF-D05","mapped","T04","育儿 / 家庭责任","NF-N1-07","「国企 / 稳定组织」有了孩子以后：工作责任和家庭责任怎么同时扛？","generated_series_seed","unreviewed"
"ST-0025","S01","工作岗位 / 工作方式系列","S01-E01","国企 / 稳定组织","PF-A05;PF-D05","mapped","T05","Crisis / 可靠","NF-N1-07","平时忙可以接受；和「国企 / 稳定组织」在一起，真正需要对方的时候他能不能出现？","generated_series_seed","unreviewed"
"ST-0026","S01","工作岗位 / 工作方式系列","S01-E01","教师","PF-A05;PF-B06","mapped","T01","恋爱 / 日常时间","NF-N1-02","和「教师」谈恋爱：这份工作每天真正还能留下多少时间给关系？","generated_series_seed","unreviewed"
"ST-0027","S01","工作岗位 / 工作方式系列","S01-E01","教师","PF-A05;PF-B06","mapped","T02","同居 / 作息","NF-N1-05","和「教师」住在一起以后：工作节奏会怎样进入你们的作息和日常？","generated_series_seed","unreviewed"
"ST-0028","S01","工作岗位 / 工作方式系列","S01-E01","教师","PF-A05;PF-B06","mapped","T03","事业机会 / 城市","NF-N1-12","「教师」遇到一次重要职业机会：谁为谁调整城市、时间和计划？","generated_series_seed","unreviewed"
"ST-0029","S01","工作岗位 / 工作方式系列","S01-E01","教师","PF-A05;PF-B06","mapped","T04","育儿 / 家庭责任","NF-N1-07","「教师」有了孩子以后：工作责任和家庭责任怎么同时扛？","generated_series_seed","unreviewed"
"ST-0030","S01","工作岗位 / 工作方式系列","S01-E01","教师","PF-A05;PF-B06","mapped","T05","Crisis / 可靠","NF-N1-07","平时忙可以接受；和「教师」在一起，真正需要对方的时候他能不能出现？","generated_series_seed","unreviewed"
"ST-0031","S01","工作岗位 / 工作方式系列","S01-E01","医生 / 医护 / 轮班岗位","PF-A05;PF-B06;PF-F06","editorial_seed","T01","恋爱 / 日常时间","NF-N1-02","和「医生 / 医护 / 轮班岗位」谈恋爱：这份工作每天真正还能留下多少时间给关系？","generated_series_seed","unreviewed"
"ST-0032","S01","工作岗位 / 工作方式系列","S01-E01","医生 / 医护 / 轮班岗位","PF-A05;PF-B06;PF-F06","editorial_seed","T02","同居 / 作息","NF-N1-05","和「医生 / 医护 / 轮班岗位」住在一起以后：工作节奏会怎样进入你们的作息和日常？","generated_series_seed","unreviewed"
"ST-0033","S01","工作岗位 / 工作方式系列","S01-E01","医生 / 医护 / 轮班岗位","PF-A05;PF-B06;PF-F06","editorial_seed","T03","事业机会 / 城市","NF-N1-12","「医生 / 医护 / 轮班岗位」遇到一次重要职业机会：谁为谁调整城市、时间和计划？","generated_series_seed","unreviewed"
"ST-0034","S01","工作岗位 / 工作方式系列","S01-E01","医生 / 医护 / 轮班岗位","PF-A05;PF-B06;PF-F06","editorial_seed","T04","育儿 / 家庭责任","NF-N1-07","「医生 / 医护 / 轮班岗位」有了孩子以后：工作责任和家庭责任怎么同时扛？","generated_series_seed","unreviewed"
"ST-0035","S01","工作岗位 / 工作方式系列","S01-E01","医生 / 医护 / 轮班岗位","PF-A05;PF-B06;PF-F06","editorial_seed","T05","Crisis / 可靠","NF-N1-07","平时忙可以接受；和「医生 / 医护 / 轮班岗位」在一起，真正需要对方的时候他能不能出现？","generated_series_seed","unreviewed"
"ST-0036","S01","工作岗位 / 工作方式系列","S01-E01","销售 / 商务 / 高频社交岗位","PF-A05;PF-F04;PF-B06","editorial_seed","T01","恋爱 / 日常时间","NF-N1-02","和「销售 / 商务 / 高频社交岗位」谈恋爱：这份工作每天真正还能留下多少时间给关系？","generated_series_seed","unreviewed"
"ST-0037","S01","工作岗位 / 工作方式系列","S01-E01","销售 / 商务 / 高频社交岗位","PF-A05;PF-F04;PF-B06","editorial_seed","T02","同居 / 作息","NF-N1-05","和「销售 / 商务 / 高频社交岗位」住在一起以后：工作节奏会怎样进入你们的作息和日常？","generated_series_seed","unreviewed"
"ST-0038","S01","工作岗位 / 工作方式系列","S01-E01","销售 / 商务 / 高频社交岗位","PF-A05;PF-F04;PF-B06","editorial_seed","T03","事业机会 / 城市","NF-N1-12","「销售 / 商务 / 高频社交岗位」遇到一次重要职业机会：谁为谁调整城市、时间和计划？","generated_series_seed","unreviewed"
"ST-0039","S01","工作岗位 / 工作方式系列","S01-E01","销售 / 商务 / 高频社交岗位","PF-A05;PF-F04;PF-B06","editorial_seed","T04","育儿 / 家庭责任","NF-N1-07","「销售 / 商务 / 高频社交岗位」有了孩子以后：工作责任和家庭责任怎么同时扛？","generated_series_seed","unreviewed"
"ST-0040","S01","工作岗位 / 工作方式系列","S01-E01","销售 / 商务 / 高频社交岗位","PF-A05;PF-F04;PF-B06","editorial_seed","T05","Crisis / 可靠","NF-N1-07","平时忙可以接受；和「销售 / 商务 / 高频社交岗位」在一起，真正需要对方的时候他能不能出现？","generated_series_seed","unreviewed"
"ST-0041","S01","工作岗位 / 工作方式系列","S01-E01","金融 / 高收入高压力岗位","PF-A05;PF-A06;PF-F01","editorial_seed","T01","恋爱 / 日常时间","NF-N1-02","和「金融 / 高收入高压力岗位」谈恋爱：这份工作每天真正还能留下多少时间给关系？","generated_series_seed","unreviewed"
"ST-0042","S01","工作岗位 / 工作方式系列","S01-E01","金融 / 高收入高压力岗位","PF-A05;PF-A06;PF-F01","editorial_seed","T02","同居 / 作息","NF-N1-05","和「金融 / 高收入高压力岗位」住在一起以后：工作节奏会怎样进入你们的作息和日常？","generated_series_seed","unreviewed"
"ST-0043","S01","工作岗位 / 工作方式系列","S01-E01","金融 / 高收入高压力岗位","PF-A05;PF-A06;PF-F01","editorial_seed","T03","事业机会 / 城市","NF-N1-12","「金融 / 高收入高压力岗位」遇到一次重要职业机会：谁为谁调整城市、时间和计划？","generated_series_seed","unreviewed"
"ST-0044","S01","工作岗位 / 工作方式系列","S01-E01","金融 / 高收入高压力岗位","PF-A05;PF-A06;PF-F01","editorial_seed","T04","育儿 / 家庭责任","NF-N1-07","「金融 / 高收入高压力岗位」有了孩子以后：工作责任和家庭责任怎么同时扛？","generated_series_seed","unreviewed"
"ST-0045","S01","工作岗位 / 工作方式系列","S01-E01","金融 / 高收入高压力岗位","PF-A05;PF-A06;PF-F01","editorial_seed","T05","Crisis / 可靠","NF-N1-07","平时忙可以接受；和「金融 / 高收入高压力岗位」在一起，真正需要对方的时候他能不能出现？","generated_series_seed","unreviewed"
"ST-0046","S01","工作岗位 / 工作方式系列","S01-E01","创业者 / 小老板","PF-A05;PF-B04;PF-D01;PF-F01","mapped","T01","恋爱 / 日常时间","NF-N1-02","和「创业者 / 小老板」谈恋爱：这份工作每天真正还能留下多少时间给关系？","generated_series_seed","unreviewed"
"ST-0047","S01","工作岗位 / 工作方式系列","S01-E01","创业者 / 小老板","PF-A05;PF-B04;PF-D01;PF-F01","mapped","T02","同居 / 作息","NF-N1-05","和「创业者 / 小老板」住在一起以后：工作节奏会怎样进入你们的作息和日常？","generated_series_seed","unreviewed"
"ST-0048","S01","工作岗位 / 工作方式系列","S01-E01","创业者 / 小老板","PF-A05;PF-B04;PF-D01;PF-F01","mapped","T03","事业机会 / 城市","NF-N1-12","「创业者 / 小老板」遇到一次重要职业机会：谁为谁调整城市、时间和计划？","generated_series_seed","unreviewed"
"ST-0049","S01","工作岗位 / 工作方式系列","S01-E01","创业者 / 小老板","PF-A05;PF-B04;PF-D01;PF-F01","mapped","T04","育儿 / 家庭责任","NF-N1-07","「创业者 / 小老板」有了孩子以后：工作责任和家庭责任怎么同时扛？","generated_series_seed","unreviewed"
"ST-0050","S01","工作岗位 / 工作方式系列","S01-E01","创业者 / 小老板","PF-A05;PF-B04;PF-D01;PF-F01","mapped","T05","Crisis / 可靠","NF-N1-07","平时忙可以接受；和「创业者 / 小老板」在一起，真正需要对方的时候他能不能出现？","generated_series_seed","unreviewed"
"ST-0051","S01","工作岗位 / 工作方式系列","S01-E01","自由职业 / 灵活工作","PF-A05;PF-B06;PF-D04","editorial_seed","T01","恋爱 / 日常时间","NF-N1-02","和「自由职业 / 灵活工作」谈恋爱：这份工作每天真正还能留下多少时间给关系？","generated_series_seed","unreviewed"
"ST-0052","S01","工作岗位 / 工作方式系列","S01-E01","自由职业 / 灵活工作","PF-A05;PF-B06;PF-D04","editorial_seed","T02","同居 / 作息","NF-N1-05","和「自由职业 / 灵活工作」住在一起以后：工作节奏会怎样进入你们的作息和日常？","generated_series_seed","unreviewed"
"ST-0053","S01","工作岗位 / 工作方式系列","S01-E01","自由职业 / 灵活工作","PF-A05;PF-B06;PF-D04","editorial_seed","T03","事业机会 / 城市","NF-N1-12","「自由职业 / 灵活工作」遇到一次重要职业机会：谁为谁调整城市、时间和计划？","generated_series_seed","unreviewed"
"ST-0054","S01","工作岗位 / 工作方式系列","S01-E01","自由职业 / 灵活工作","PF-A05;PF-B06;PF-D04","editorial_seed","T04","育儿 / 家庭责任","NF-N1-07","「自由职业 / 灵活工作」有了孩子以后：工作责任和家庭责任怎么同时扛？","generated_series_seed","unreviewed"
"ST-0055","S01","工作岗位 / 工作方式系列","S01-E01","自由职业 / 灵活工作","PF-A05;PF-B06;PF-D04","editorial_seed","T05","Crisis / 可靠","NF-N1-07","平时忙可以接受；和「自由职业 / 灵活工作」在一起，真正需要对方的时候他能不能出现？","generated_series_seed","unreviewed"
"ST-0056","S01","工作岗位 / 工作方式系列","S01-E01","高频出差 / 外派岗位","PF-B06;PF-F02;PF-B01","mapped","T01","恋爱 / 日常时间","NF-N1-02","和「高频出差 / 外派岗位」谈恋爱：这份工作每天真正还能留下多少时间给关系？","generated_series_seed","unreviewed"
"ST-0057","S01","工作岗位 / 工作方式系列","S01-E01","高频出差 / 外派岗位","PF-B06;PF-F02;PF-B01","mapped","T02","同居 / 作息","NF-N1-05","和「高频出差 / 外派岗位」住在一起以后：工作节奏会怎样进入你们的作息和日常？","generated_series_seed","unreviewed"
"ST-0058","S01","工作岗位 / 工作方式系列","S01-E01","高频出差 / 外派岗位","PF-B06;PF-F02;PF-B01","mapped","T03","事业机会 / 城市","NF-N1-12","「高频出差 / 外派岗位」遇到一次重要职业机会：谁为谁调整城市、时间和计划？","generated_series_seed","unreviewed"
